name,category,location,website
Albert Einstein,"change, deep-thoughts, thinking, world",Demo,https://quotes.toscrape.com/
J.K. Rowling,"abilities, choices",Demo,https://quotes.toscrape.com/
Jane Austen,"aliteracy, books, classic, humor",Demo,https://quotes.toscrape.com/
Marilyn Monroe,"be-yourself, inspirational",Demo,https://quotes.toscrape.com/
André Gide,"life, love",Demo,https://quotes.toscrape.com/
Thomas A. Edison,"edison, failure, inspirational, paraphrased",Demo,https://quotes.toscrape.com/
Eleanor Roosevelt,misattributed-eleanor-roosevelt,Demo,https://quotes.toscrape.com/
Steve Martin,"humor, obvious, simile",Demo,https://quotes.toscrape.com/
Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters",Demo,https://quotes.toscrape.com/page/2/
J.K. Rowling,"courage, friends",Demo,https://quotes.toscrape.com/page/2/
Albert Einstein,"simplicity, understand",Demo,https://quotes.toscrape.com/page/2/
Bob Marley,love,Demo,https://quotes.toscrape.com/page/2/
Dr. Seuss,fantasy,Demo,https://quotes.toscrape.com/page/2/
Douglas Adams,"life, navigation",Demo,https://quotes.toscrape.com/page/2/
Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",Demo,https://quotes.toscrape.com/page/2/
Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",Demo,https://quotes.toscrape.com/page/2/
Mark Twain,"books, contentment, friends, friendship, life",Demo,https://quotes.toscrape.com/page/2/
Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans",Demo,https://quotes.toscrape.com/page/2/
Pablo Neruda,"love, poetry",Demo,https://quotes.toscrape.com/page/3/
Ralph Waldo Emerson,happiness,Demo,https://quotes.toscrape.com/page/3/
Mother Teresa,attributed-no-source,Demo,https://quotes.toscrape.com/page/3/
Garrison Keillor,"humor, religion",Demo,https://quotes.toscrape.com/page/3/
Jim Henson,humor,Demo,https://quotes.toscrape.com/page/3/
Dr. Seuss,"comedy, life, yourself",Demo,https://quotes.toscrape.com/page/3/
Albert Einstein,"children, fairy-tales",Demo,https://quotes.toscrape.com/page/3/
J.K. Rowling,N/A,Demo,https://quotes.toscrape.com/page/3/
Bob Marley,music,Demo,https://quotes.toscrape.com/page/3/
Dr. Seuss,"learning, reading, seuss",Demo,https://quotes.toscrape.com/page/4/
J.K. Rowling,dumbledore,Demo,https://quotes.toscrape.com/page/4/
Bob Marley,friendship,Demo,https://quotes.toscrape.com/page/4/
Mother Teresa,"misattributed-to-mother-teresa, paraphrased",Demo,https://quotes.toscrape.com/page/4/
